pair_key,in_reference,in_dataset,reference_magnitude,dataset_magnitude
immune|tumor|CXCL8|SDC3,True,True,0.7231007,0.8805133
immune|tumor|ENTPD1|ADORA1,True,True,0.7185127,0.6921452
immune|tumor|FAM3C|LIFR,True,True,0.70211655,0.7500239
immune|tumor|FN1|CD44,True,True,0.7692236,0.86441046
immune|tumor|FN1|ITGA3_ITGB1,True,True,0.67916423,0.7503272
immune|tumor|FN1|ITGA6,True,True,0.60487694,0.7465515
immune|tumor|FN1|ITGAV_ITGB1,True,True,0.7156486,0.8351428
immune|tumor|FN1|ITGAV_ITGB8,True,True,0.79331386,0.86183745
immune|tumor|FN1|NT5E,True,True,0.58436793,0.7369577
immune|tumor|FN1|SDC2,True,True,0.64268124,0.77873945
immune|tumor|GAS6|TYRO3,True,True,0.55083764,0.6696305
immune|tumor|GNAI2|ADCY1,True,True,0.67070484,0.7931706
immune|tumor|GNAI2|ADCY9,True,True,0.7265589,0.8166415
immune|tumor|GNAI2|ADORA1,True,True,0.60962135,0.7806254
immune|tumor|GNAI2|CAV1,True,True,0.5459954,0.8505969
immune|tumor|GNAI2|CNR1,True,True,0.71052855,0.8376914
immune|tumor|GNAI2|EDNRB,True,True,0.6091086,0.8338874
immune|tumor|GNAI2|EGFR,True,True,0.83818096,0.93032104
immune|tumor|GNAI2|F2R,True,True,0.5630823,0.79546624
immune|tumor|GNAI2|IGF1R,True,True,0.77222633,0.8571355
immune|tumor|GNAS|ADCY1,True,True,0.75236183,0.7849724
immune|tumor|GNAS|ADCY9,True,True,0.7985261,0.80914974
immune|tumor|GPI|AMFR,True,True,0.6719924,0.735576
immune|tumor|GRN|EGFR,True,True,0.85206604,0.93851477
immune|tumor|GRN|SORT1,True,True,0.7705282,0.87733525
immune|tumor|GRN|TNFRSF1A,True,True,0.6562489,0.8698063
immune|tumor|GSTP1|EGFR,True,True,0.7996264,0.935848
immune|tumor|HBEGF|CD44,True,True,0.68467516,0.86766607
immune|tumor|HBEGF|CD82,True,True,0.52633065,0.82564104
immune|tumor|HBEGF|CD9,True,True,0.52477175,0.8908333
immune|tumor|HLA-A|APLP2,True,True,0.8458263,0.9348524
immune|tumor|ICAM1|CAV1,True,True,0.5221247,0.78398025
immune|tumor|ICAM1|EGFR,True,True,0.82474166,0.8948581
immune|tumor|IGF1|IGF1R,True,True,0.7386653,0.70697814
immune|tumor|IGF1|IGF2R,True,True,0.6381915,0.63797456
immune|tumor|IGF1|INSR,True,True,0.6810191,0.69225156
immune|tumor|IL16|CD9,True,True,0.52992326,0.8456702
immune|tumor|IL16|KCNJ10,True,True,0.49446395,0.6473211
immune|tumor|IL18|IL1RAPL1,True,True,0.8473547,0.8541053
immune|tumor|ITGAV|THY1,True,True,0.7419176,0.8128689
immune|tumor|ITGB2|THY1,True,True,0.62830544,0.87009025
immune|tumor|JAM2|ITGA3_ITGB1,True,True,0.5519071,0.5134442
immune|tumor|JAML|CXADR,True,True,0.61254996,0.8042126
immune|tumor|LGALS1|ITGB1,True,True,0.67622536,0.9031083
immune|tumor|LGALS8|ITGA3,True,True,0.6014993,0.6415429
immune|tumor|LGALS9|CD44,True,True,0.7160426,0.8550575
immune|tumor|LGALS9|CD47,True,True,0.65241563,0.83404905
immune|tumor|LGALS9|LRP1,True,True,0.7455868,0.85709244
immune|tumor|LGALS9|MRC2,True,True,0.7031513,0.8134012
