source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
nerve_c17,immune_dendritic,PTN,NCL,1.3639538,0.0,1.7844877,0.3771706543029828,0.3038197914915783,0.010441487,0.92444634,0.4217548932256402,0.0339382482711252,nerve,immune,immune-nerve,nerve_to_immune,nerve_c17,dendritic,0.712,4.0,0.1815,False,0.1168,23.0,0.7139,True,False
nerve_c6,immune_tam,HLA-C,LILRB1,1.4968474,0.0,1.2273755,0.6217024816623291,0.5533448285414817,0.048981182,0.9102936,0.0584463858624115,0.0339622319443615,nerve,immune,immune-nerve,nerve_to_immune,nerve_c6,tam,0.2036,24.0,0.6567,True,0.221,21.0,0.6495,True,True
nerve_c9,immune_tam,TIMP1,CD63,1.3633192,0.0,1.52998,0.0334026773232988,-0.4219631133302784,0.019167209,0.91889393,1.0,0.0340822636085379,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,tam,0.4802,7.0,0.3212,True,0.221,21.0,0.6495,True,True
nerve_c9,immune_microglia,FGF2,SDC2,0.11225869,0.0,0.011653637,0.0442342210487642,0.0299771206942876,0.012460592,0.49717948,0.8483778758461674,0.034125203512117,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,microglia,0.4802,7.0,0.3212,True,0.0584,28.0,0.8514,True,True
nerve_c2,immune_tam,APP,LRP1,1.3638055,0.0,1.2212415,0.8927927459128654,0.8891556916040246,0.016849667,0.91008884,0.0804844820272209,0.0342988278575689,nerve,immune,immune-nerve,nerve_to_immune,nerve_c2,tam,0.4082,17.0,0.533,True,0.221,21.0,0.6495,True,True
nerve_c5,immune_nk_cell,MIF,CD44_CD74,1.3623682,0.0,1.7352779,0.5567729002885073,0.6215863931154141,0.015467948,0.92346394,0.1119850384925657,0.0343229326866278,nerve,immune,immune-nerve,nerve_to_immune,nerve_c5,nk_cell,0.5076,15.0,0.4523,False,0.1807,21.0,0.6809,True,False
nerve_c4,immune_microglia,NUCB2,ERAP1,0.10855658,1.0,0.01167409,-0.1228617239057628,-0.1803048831867517,0.0052231825,0.49739867,1.0,0.0345298893295732,nerve,immune,immune-nerve,nerve_to_immune,nerve_c4,microglia,0.1779,16.0,0.5438,True,0.0584,28.0,0.8514,True,True
nerve_c9,immune_tam,ADAM10,CD44,1.3619528,0.0,1.561062,0.9825508851603064,1.0183061055193914,0.019680161,0.91964024,0.0584463858624115,0.0345402235348961,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,tam,0.4802,7.0,0.3212,True,0.221,21.0,0.6495,True,True
nerve_c4,immune_tam,TF,TFRC,1.4160848,0.0,1.2183034,2.085785941615663,1.5174268531329913,0.014290742,0.90999025,0.0468438309070412,0.0345402235348961,nerve,immune,immune-nerve,nerve_to_immune,nerve_c4,tam,0.1779,16.0,0.5438,True,0.221,21.0,0.6495,True,True
nerve_c9,immune_tam,PSAP,LRP1,1.361687,0.0,1.2188493,0.2269101129463271,-0.0730377180247763,0.019135755,0.91000855,0.7769952662500518,0.0345886026994945,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,tam,0.4802,7.0,0.3212,True,0.221,21.0,0.6495,True,True
nerve_c5,immune_dendritic,SPP1,ITGA4_ITGB1,1.9044772,0.0,1.2169596,0.3808116767708279,-0.373201099976987,0.011964025,0.909945,1.0,0.034685449893163,nerve,immune,immune-nerve,nerve_to_immune,nerve_c5,dendritic,0.5076,15.0,0.4523,False,0.1168,23.0,0.7139,True,False
nerve_c2,immune_dendritic,B2M,CD1C,1.9102598,0.0,1.2166234,1.6310387287159185,0.2876241669924316,0.058440734,0.9099337,0.1051587186586298,0.0347581679955647,nerve,immune,immune-nerve,nerve_to_immune,nerve_c2,dendritic,0.4082,17.0,0.533,True,0.1168,23.0,0.7139,True,True
nerve_c22,immune_nk_cell,SPP1,PTGER4,1.7276111,0.121,1.2165116,0.216814219580009,-0.6371849725868506,0.011805179,0.90992993,1.0,0.0348066923765302,nerve,immune,immune-nerve,nerve_to_immune,nerve_c22,nk_cell,1.0,1.0,-0.0,False,0.1807,21.0,0.6809,True,False
nerve_c13,immune_t_cell,LGALS1,PTPRC,1.4075055,0.0,1.2157589,0.3173123511997149,0.2690684806287249,0.011000981,0.90990454,0.3598852966687824,0.0348795314519344,nerve,immune,immune-nerve,nerve_to_immune,nerve_c13,t_cell,0.3452,18.0,0.5887,True,0.114,24.0,0.7175,True,True
nerve_c10,immune_microglia,CALM1,KCNQ3,1.6282594,0.0,1.2142589,0.7478128930450212,1.3041212683867465,0.055730034,0.90985394,0.0584463858624115,0.0350254352929648,nerve,immune,immune-nerve,nerve_to_immune,nerve_c10,microglia,0.8274,7.0,0.1908,False,0.0584,28.0,0.8514,True,False
nerve_c9,immune_nk_cell,MELTF,TFRC,0.11248574,1.0,0.011727372,-0.0871315405913291,-0.3626315032859052,0.011010749,0.4979679,1.0,0.0351368479907058,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,nk_cell,0.4802,7.0,0.3212,True,0.1807,21.0,0.6809,True,True
nerve_c1,immune_t_cell,HLA-C,CD8A,1.3583667,0.0,1.7086455,0.8439053412119094,0.9837869500831158,0.056867607,0.9229156,0.0584463858624115,0.0351472421779379,nerve,immune,immune-nerve,nerve_to_immune,nerve_c1,t_cell,0.1941,18.0,0.5886,True,0.114,24.0,0.7175,True,True
nerve_c18,immune_tam,HLA-A,LILRB1,1.481643,0.0,1.2124666,0.5111834403307813,0.3886027031785648,0.038969632,0.9097934,0.0714419949616887,0.0351960245568159,nerve,immune,immune-nerve,nerve_to_immune,nerve_c18,tam,0.5575,4.0,0.2111,False,0.221,21.0,0.6495,True,False
nerve_c5,immune_tam,HLA-A,LILRB2,1.3932514,0.0,1.2120945,0.8224451967997853,0.2928277090235865,0.051888965,0.90978074,0.1317561823546991,0.0352204198091306,nerve,immune,immune-nerve,nerve_to_immune,nerve_c5,tam,0.5076,15.0,0.4523,False,0.221,21.0,0.6495,True,False
nerve_c13,immune_microglia,TF,TFRC,1.421366,0.0,1.209809,2.0971637861189225,2.1391725728777944,0.014191102,0.90970325,0.0148562656552733,0.035342549021324,nerve,immune,immune-nerve,nerve_to_immune,nerve_c13,microglia,0.3452,18.0,0.5887,True,0.0584,28.0,0.8514,True,True
nerve_c17,immune_tam,MIF,CD44_CD74,1.3571405,0.0,1.5427368,0.6166629889828651,0.8940485665360007,0.013751673,0.91920286,0.1708833838013206,0.035415928047456,nerve,immune,immune-nerve,nerve_to_immune,nerve_c17,tam,0.712,4.0,0.1815,False,0.221,21.0,0.6495,True,False
