pair_key,in_reference,in_dataset,reference_magnitude,dataset_magnitude
immune|tumor|SEMA4D|PLXNB2,True,True,0.6730199,0.7259644
immune|tumor|SERPINA1|LRP1,True,True,0.7323608,0.9059736
immune|tumor|SERPINE1|LRP1,True,True,0.75799394,0.8425883
immune|tumor|SERPING1|LRP1,True,True,0.6785685,0.7894819
immune|tumor|SIRPA|CD47,True,True,0.71150357,0.81407076
immune|tumor|SPON2|ITGB1,True,True,0.63850003,0.8183744
immune|tumor|SPP1|CD44,True,True,0.86542344,0.9327349
immune|tumor|SPP1|ITGAV_ITGB1,True,True,0.8292233,0.9220219
immune|tumor|ST6GAL1|EGFR,True,True,0.9154293,0.90493685
immune|tumor|TGFB1|CAV1,True,True,0.57427686,0.82216334
immune|tumor|TGFB1|EGFR,True,True,0.8531564,0.913503
immune|tumor|TGFB1|ITGB1,True,True,0.71939296,0.8462548
